DATE,TRFVOLUSM227NFWA
1970-01-01,80173.0
1970-02-01,77442.0
1970-03-01,90223.0
1970-04-01,89956.0
1970-05-01,97972.0
1970-06-01,100035.0
1970-07-01,106392.0
1970-08-01,106969.0
1970-09-01,95254.0
1970-10-01,96317.0
1970-11-01,89684.0
1970-12-01,89911.0
1971-01-01,85336.0
1971-02-01,80118.0
1971-03-01,92974.0
1971-04-01,98106.0
1971-05-01,103655.0
1971-06-01,105433.0
1971-07-01,112466.0
1971-08-01,112642.0
1971-09-01,101290.0
1971-10-01,102525.0
1971-11-01,95555.0
1971-12-01,95515.0
1972-01-01,92465.0
1972-02-01,88272.0
1972-03-01,102926.0
1972-04-01,103238.0
1972-05-01,110945.0
1972-06-01,113265.0
1972-07-01,118594.0
1972-08-01,119913.0
1972-09-01,108072.0
1972-10-01,108841.0
1972-11-01,100791.0
1972-12-01,101040.0
1973-01-01,96664.0
1973-02-01,92567.0
1973-03-01,107490.0
1973-04-01,108120.0
1973-05-01,114819.0
1973-06-01,115859.0
1973-07-01,121685.0
1973-08-01,124426.0
1973-09-01,110332.0
1973-10-01,113089.0
1973-11-01,104381.0
1973-12-01,98856.0
1974-01-01,95030.0
1974-02-01,86426.0
1974-03-01,100736.0
1974-04-01,104579.0
1974-05-01,112167.0
1974-06-01,113888.0
1974-07-01,120890.0
1974-08-01,124070.0
1974-09-01,109125.0
1974-10-01,112572.0
1974-11-01,105079.0
1974-12-01,105083.0
1975-01-01,98342.0
1975-02-01,91303.0
1975-03-01,106070.0
1975-04-01,107133.0
1975-05-01,116659.0
1975-06-01,118388.0
1975-07-01,124493.0
1975-08-01,126103.0
1975-09-01,111399.0
1975-10-01,115250.0
1975-11-01,106990.0
1975-12-01,107945.0
1976-01-01,102460.0
1976-02-01,98528.0
1976-03-01,114284.0
1976-04-01,117014.0
1976-05-01,123278.0
1976-06-01,124128.0
1976-07-01,130891.0
1976-08-01,131913.0
1976-09-01,119431.0
1976-10-01,121210.0
1976-11-01,112996.0
1976-12-01,113030.0
1977-01-01,102445.0
1977-02-01,102416.0
1977-03-01,119960.0
1977-04-01,121513.0
1977-05-01,128884.0
1977-06-01,129321.0
1977-07-01,136199.0
1977-08-01,136337.0
1977-09-01,124203.0
1977-10-01,127388.0
1977-11-01,118486.0
1977-12-01,116257.0
1978-01-01,109838.0
1978-02-01,107018.0
1978-03-01,125035.0
1978-04-01,122741.0
1978-05-01,134427.0
1978-06-01,138883.0
1978-07-01,148209.0
1978-08-01,149461.0
1978-09-01,131385.0
1978-10-01,132930.0
1978-11-01,123690.0
1978-12-01,124595.0
1979-01-01,114354.0
1979-02-01,109650.0
1979-03-01,131406.0
1979-04-01,129539.0
1979-05-01,132394.0
1979-06-01,131192.0
1979-07-01,134853.0
1979-08-01,139942.0
1979-09-01,127576.0
1979-10-01,131619.0
1979-11-01,123381.0
1979-12-01,123226.0
1980-01-01,116462.0
1980-02-01,107338.0
1980-03-01,125179.0
1980-04-01,125698.0
1980-05-01,131269.0
1980-06-01,131679.0
1980-07-01,136250.0
1980-08-01,138666.0
1980-09-01,127482.0
1980-10-01,132615.0
1980-11-01,123420.0
1980-12-01,124798.0
1981-01-01,116049.0
1981-02-01,109765.0
1981-03-01,127798.0
1981-04-01,128465.0
1981-05-01,134305.0
1981-06-01,135545.0
1981-07-01,141253.0
1981-08-01,143464.0
1981-09-01,131185.0
1981-10-01,133216.0
1981-11-01,124804.0
1981-12-01,124421.0
1982-01-01,109757.0
1982-02-01,107512.0
1982-03-01,128182.0
1982-04-01,129845.0
1982-05-01,140283.0
1982-06-01,142111.0
1982-07-01,152200.0
1982-08-01,153300.0
1982-09-01,136311.0
1982-10-01,138780.0
1982-11-01,127061.0
1982-12-01,127139.0
1983-01-01,119436.0
1983-02-01,111828.0
1983-03-01,132814.0
1983-04-01,132741.0
1983-05-01,143619.0
1983-06-01,146738.0
1983-07-01,156823.0
1983-08-01,157649.0
1983-09-01,139938.0
1983-10-01,144044.0
1983-11-01,133700.0
1983-12-01,129776.0
1984-01-01,122529.0
1984-02-01,117483.0
1984-03-01,137307.0
1984-04-01,141327.0
1984-05-01,151046.0
1984-06-01,153403.0
1984-07-01,161702.0
1984-08-01,164920.0
1984-09-01,146074.0
1984-10-01,147610.0
1984-11-01,137272.0
1984-12-01,136095.0
1985-01-01,124122.0
1985-02-01,119367.0
1985-03-01,144424.0
1985-04-01,147635.0
1985-05-01,156726.0
1985-06-01,158703.0
1985-07-01,166881.0
1985-08-01,169437.0
1985-09-01,150424.0
1985-10-01,154587.0
1985-11-01,140872.0
1985-12-01,141584.0
1986-01-01,132998.0
1986-02-01,123526.0
1986-03-01,151183.0
1986-04-01,150277.0
1986-05-01,160459.0
1986-06-01,162370.0
1986-07-01,171114.0
1986-08-01,173977.0
1986-09-01,155462.0
1986-10-01,159434.0
1986-11-01,147813.0
1986-12-01,149628.0
1987-01-01,139918.0
1987-02-01,135996.0
1987-03-01,157573.0
1987-04-01,159801.0
1987-05-01,167776.0
1987-06-01,167826.0
1987-07-01,175783.0
1987-08-01,177378.0
1987-09-01,164184.0
1987-10-01,166836.0
1987-11-01,155676.0
1987-12-01,155580.0
1988-01-01,148879.0
1988-02-01,141748.0
1988-03-01,167836.0
1988-04-01,166804.0
1988-05-01,178042.0
1988-06-01,178690.0
